[ArenaModInvoke] EXECUTE: Event fired for param='complete_quest(01_opening)', step='ending'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_is_rank_up_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_is_quest_battle_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_gladiator, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(chitsii.arena.player.rank, ==0)', step='registered'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_is_rank_up_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_is_quest_battle_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_gladiator, ==1)', step='main'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==1)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==2)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==3)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==4)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==5)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==6)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==7)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_rank_up_trial, ==0)', step='rank_up_result_check'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_g'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_g'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_g'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_f'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_f'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_f'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_e'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_e'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_e'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_d'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_d'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_d'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_c'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_c'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_c'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_b'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_b'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_b'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==1)', step='rank_up_result_a'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==2)', step='rank_up_result_a'
[ArenaModInvoke] EXECUTE: Event fired for param='if_flag(sukutsu_arena_result, ==0)', step='rank_up_result_a'
